IS_COFACTOR	SYNOYMS
           	hexadecanoyl-coa                                                                                                                                                                                  	palmitoyl-coa
           	fatty acid
           	carbon dioxide                                                                                                                                                                                    	carbon dioxide (jp18/usp)                                 	carbon dioxide (tn)                                	carbonic acid gas                             	carbonic anhydride                                 	co2(out)
           	butanedioic acid                                                                                                                                                                                  	ethylenesuccinic acid                                     	suc                                                	succ                                          	succinate                                          	succinate(in)                                                            	succinate(out)                                                  	succinic                                    	succinic acid
           	acetyl coenzyme a                                                                                                                                                                                 	acetyl-coa
Y          	a                                                                                                                                                                                                 	acceptor                                                  	hydrogen-acceptor                                  	oxidized donor                                	oxidized unknown electron acceptor                 	oxidized unknown electron carrier                                        	oxidized unknown electron donor
           	adenosine-5'-triphosphate                                                                                                                                                                         	adenosine-triphosphate                                    	adenylpyrophosphate                                	atp                                           	atp(in)                                            	atp(out)
           	5-l-glutamyl-l-cysteinylglycine                                                                                                                                                                   	gamma-l-glutamyl-l-cysteinyl-glycine                      	glutathione                                        	gsh                                           	n-(n-gamma-l-glutamyl-l-cysteinyl)glycine          	reduced glutathione
           	adenosine 5'-pyrophosphate                                                                                                                                                                        	adenosine pyrophosphate                                   	adenosine-5'-diphosphate                           	adenosine-5-diphosphate                       	adenosine-diphosphate                              	adp                                                                      	adp(in)                                                         	adp(out)
           	aminoacetic acid                                                                                                                                                                                  	g                                                         	gly                                                	glycine                                       	glycine(in)                                        	glycine(out)
           	hydrogenphosphate                                                                                                                                                                                 	inorganic phosphate                                       	orthophosphate                                     	phosphate                                     	phosphate(in)                                      	phosphate(out)                                                           	phosphate-inorganic                                             	phosphoric                                  	pi
           	5'-adenosine monophosphate                                                                                                                                                                        	5'-adenylic acid                                          	5'-amp                                             	adenosine 5'-monophosphate                    	adenosine 5'-phosphate                             	adenosine-monophosphate                                                  	adenylate                                                       	adenylic acid                               	amp                                      	amp(in)                                            	amp(out)
           	5'-cytidylic acid                                                                                                                                                                                 	cmp                                                       	cytidine 5'-monophosphate                          	cytidine 5'-phosphate                         	cytidine-monophosphate                             	cytidine-p                                                               	cytidine-phosphate                                              	cytidylate                                  	cytidylic acid
           	malonyl coenzyme a                                                                                                                                                                                	malonyl-coa
Y          	gdp                                                                                                                                                                                               	guanosine-5'-diphosphate                                  	guanosine-diphosphate                              	ppg
Y          	na(+)(in)                                                                                                                                                                                         	na(+)(out)                                                	na+                                                	nai                                           	sodium cation                                      	sodium cation(side 1)                                                    	sodium cation(side 2)                                           	sodium ion                                  	sodium(1+)                               	sodium(i)
           	l-2-amino-4methylthiobutyric acid                                                                                                                                                                 	l-met                                                     	l-methionine                                       	l-methionine(in)                              	l-methionine(out)                                  	m                                                                        	met                                                             	methionine
           	c                                                                                                                                                                                                 	carbocysteine                                             	cys                                                	cysteine                                      	l-2-amino-3-mercaptopropionic acid                 	l-cys                                                                    	l-cysteine                                                      	l-cysteine(in)                              	l-cysteine(out)
           	3',5'-adp                                                                                                                                                                                         	adenosine 3',5'-bisphosphate                              	adenosine-3',5'-bisphosphate                       	pap                                           	phosphoadenosine phosphate
           	(9z)-octadec-9-enoyl-coa                                                                                                                                                                          	(9z)-octadecenoyl-coa                                     	(9z)-octadecenoyl-coa(in)                          	cis-octadec-9-enoyl-coa                       	oleoyl-coa                                         	oloeyl-coa (cis)
           	coenzyme ii                                                                                                                                                                                       	nadp                                                      	nadp(+)                                            	nadp+                                         	nadp-ox                                            	nadp-oxidized                                                            	nicotinamide adenine dinucleotide phosphate                     	nicotinamide adenine dinucleotide-p         	tpn                                      	tpn+                                               	tpn-ox                                     	triphosphopyridine nucleotide                   	β-nadp+
           	(9z)-octadec-9-enoate                                                                                                                                                                             	(9z)-octadec-9-enoic acid                                 	(9z)-octadecenoate                                 	(9z)-octadecenoate(in)                        	(9z)-octadecenoate(out)                            	(9z)-octadecenoic acid                                                   	(z)-octadec-9-enoic acid                                        	9-octadecenoic acid                         	cis-9-octadecenoic acid                  	cis-oleic acid                                     	cis-δ9-octadecenoic acid                   	octadec-9-enoic acid                            	octadecenoate (n-c18:1)             	oleate                               	oleic                               	oleic acid
           	udp                                                                                                                                                                                               	uridine 5'-diphosphate
           	udp                                                                                                                                                                                               	uridine-5'-diphosphate                                    	uridine-diphosphate
           	hydrogen sulfide                                                                                                                                                                                  	hydrogen-sulfide                                          	sulfide
           	fmnh                                                                                                                                                                                              	fmnh2                                                     	reduced [flavodoxin]                               	reduced [nadph--hemoprotein reductase]        	reduced flavin mononucleotide                      	reduced fmn
           	dioxygen                                                                                                                                                                                          	molecular oxygen                                          	o2(in)                                             	oxygen                                        	oxygen (jp18/usp)                                  	oxygen molecule
           	formate                                                                                                                                                                                           	formate(in)                                               	formate(out)                                       	formic                                        	formic acid                                        	methanoic acid
           	ammonia ion                                                                                                                                                                                       	ammonium                                                  	ammonium(1+)                                       	nh4(+)                                        	nh4(+)(in)                                         	nh4(+)(out)                                                              	nh4+
           	oxidized ferredoxin                                                                                                                                                                               	oxidized ferredoxin [iron-sulfur] cluster
           	udp-alpha-d-glucose                                                                                                                                                                               	udp-d-glucose                                             	udp-glucose                                        	udp-α-d-glucopyranose                         	udp-α-d-glucose                                    	udpg                                                                     	uridine 5'-(trihydrogen diphosphate) alpha-d-gucopyranosyl ester
           	(2e)-geranyl diphosphate                                                                                                                                                                          	geranyl diphosphate                                       	geranyl pyrophosphate                              	geranyl-diphosphate                           	geranyl-pp                                         	geranyl-pyrophosphate                                                    	gpp                                                             	ω,e-geranyl diphosphate
           	1-amino-propane-1,3-dicarboxylic acid                                                                                                                                                             	2-aminopentanedioic acid                                  	e                                                  	glt                                           	glu                                                	glut                                                                     	glutacid                                                        	glutamic                                    	glutaminic acid                          	l-glu                                              	l-glutamate                                	l-glutamate(in)                                 	l-glutamate(out)                    	l-glutamic acid                      	α-aminoglutaric acid
           	ac-coa                                                                                                                                                                                            	ac-s-coa                                                  	acetyl coenzyme-a                                  	acetyl-coa                                    	acetyl-s-coa                                       	acetylcoenzyme-a
           	deoxythymidine 5'-diphosphate                                                                                                                                                                     	dtdp
           	(2e,6e,10e)-3,7,11,15-tetramethylhexadeca-2,6,10,14-tetraen-1-yl diphosphate                                                                                                                      	(2e,6e,10e)-geranylgeranyl diphosphate                    	2-trans,6-trans,10-trans-geranylgeranyl diphosphate	all-trans-geranyl-geranyl-pp                  	all-trans-geranylgeranyl diphosphate               	geranylgeranyl                                                           	geranylgeranyl diphosphate                                      	geranylgeranyl-pp                           	ggpp                                     	ω,e,e,e-geranylgeranyl diphosphate
           	[fe(ii)-cytochrome b1]                                                                                                                                                                            	[fe(ii)-cytochrome b5]                                    	[fe(ii)-cytochrome c2]                             	[fe(ii)-cytochrome c3]                        	[fe(ii)-leghemoglobin]                             	[fe(ii)cytochrome c550]                                                  	[fe(ii)cytochrome c553]                                         	[fe(ii)cytochrome c]                        	[fe(ii)cytochrome c](out)                	[fe(ii)cytochrome cl]                              	[fe(ii)cytochrome]                         	fe(2+)                                          	fe(2+)(in)                          	fe(2+)(out)                          	fe(ii)                              	fe(ii)-siderophore                        	fe2+                            	feii                                 	ferrous ion                    	ferrous iron	iron(2+)	iron(ii)  	reduced [nitric oxide reductase rubredoxin domain]	reduced [rubredoxin]
           	[fe(iii)-cytochrome b1]                                                                                                                                                                           	[fe(iii)-cytochrome b561]                                 	[fe(iii)-cytochrome b5]                            	[fe(iii)-cytochrome c2]                       	[fe(iii)-cytochrome c3]                            	[fe(iii)-leghemoglobin]                                                  	[fe(iii)cytochrome c550]                                        	[fe(iii)cytochrome c553]                    	[fe(iii)cytochrome c]                    	[fe(iii)cytochrome c](out)                         	[fe(iii)cytochrome cl]                     	[fe(iii)cytochrome]                             	fe(3+)                              	fe(3+)(in)                           	fe(3+)(out)                         	fe(iii)                                   	fe(iii)-siderophore             	fe(iii)-siderophore(in)              	fe(iii)-siderophore(out)       	fe3+        	feiii   	ferric ion	ferric iron                                       	iron(3+)            	iron(iii)	oxidized [nitric oxide reductase rubredoxin domain]	oxidized [rubredoxin]
           	2-oxo-propionic acid                                                                                                                                                                              	2-oxopropanoate                                           	2-oxopropanoic acid                                	acetylformic acid                             	alpha-ketopropionic acid                           	bts                                                                      	pyroracemic acid                                                	pyruvate                                    	pyruvate(in)                             	pyruvate(out)                                      	pyruvic                                    	pyruvic acid                                    	α-ketopropionic acid
           	nad(p)                                                                                                                                                                                            	nad(p)+                                                   	β-nad(p)+
           	2-s-adenosyl-l-homocysteine                                                                                                                                                                       	adenosyl-homo-cys                                         	adenosylhomo-cys                                   	adenosylhomocysteine                          	adohcy                                             	s-adenosyl-homocysteine                                                  	s-adenosyl-l-homocysteine                                       	s-adenosylhomocysteine                      	sah
           	h2o(in)                                                                                                                                                                                           	h2o(out)                                                  	hydrogen oxide                                     	purified water (jp18)                         	purified water in containers (jp18)                	sterile purified water in containers (jp18)                              	sterile water (tn)                                              	water                                       	water (jp18/usp)                         	water for injection (jp18)                         	water for injection in containers (jp18)   	water, purified (usp)
           	(2e,6e)-farnesyl diphosphate                                                                                                                                                                      	2-trans,6-trans-farnesyl diphosphate                      	farnesyl diphosphate                               	farnesyl pyrophosphate                        	trans,trans-farnesyl diphosphate
           	acetate                                                                                                                                                                                           	acetate(in)                                               	acetate(out)                                       	acetic                                        	acetic acid                                        	ethanoic acid
           	reduced [2fe-2s]-[ferredoxin]                                                                                                                                                                     	reduced [2fe-2s]-[protein]                                	reduced [2fe-2s]-[putidaredoxin]                   	reduced [adrenodoxin]
           	diphosphate                                                                                                                                                                                       	diphosphoric acid                                         	pp                                                 	ppi                                           	pyrophosphate                                      	pyrophosphoric acid
           	1,2-diacyl-sn-glycerol                                                                                                                                                                            	1,2-diacyl-sn-glycerol(in)                                	1,2-diacyl-sn-glycerol(out)                        	1,2-diacylglycerol                            	d-1,2-diacylglycerol                               	d-1,2-diglyceride                                                        	dag                                                             	l-1,2-diacylglycerol
           	beta-nadp+                                                                                                                                                                                        	beta-nicotinamide adenine dinucleotide phosphate          	nadp                                               	nadp+                                         	nicotinamide adenine dinucleotide phosphate        	tpn                                                                      	triphosphopyridine nucleotide
           	acyl coenzyme a                                                                                                                                                                                   	acyl-coa                                                  	acyl-coenzyme a                                    	fatty acyl thioester-coa                      	rch2ch2co-coa
           	coa                                                                                                                                                                                               	coa-sh                                                    	coenzyme a
           	reduced ferredoxin                                                                                                                                                                                	reduced ferredoxin [iron-sulfur] cluster
Y          	fad                                                                                                                                                                                               	flavin adenine dinucleotide                               	flavin adenine dinucleotide oxidized               	flavitan                                      	oxidized [electron-transfer flavoprotein]
           	1,5-dihydro-fad                                                                                                                                                                                   	fadh2                                                     	flavin adenine dinucleotide reduced                	reduced [electron-transfer flavoprotein]
Y          	nad(p)h                                                                                                                                                                                           	β-nad(p)h
           	(3r)-3-hydroxy-4-(trimethylammino)butanoate                                                                                                                                                       	(r)-carnitine                                             	(r)-carnitine(in)                                  	(r)-carnitine(out)                            	3-carboxy-2-hydroxy-n,n,n-trimethyl-1-propanaminium	3-carboxy-2-hydroxy-n,n,n-trimethyl-1-propanaminium hydroxide, inner salt	bicarnesine                                                     	carnitine                                   	carnitor (tn)                            	l-carnitine                                        	l-gamma-trimethyl-beta-hydroxybutyrobetaine	levocarnitine                                   	levocarnitine (jan/usp/inn)         	vitamin b t                          	vitamin bt                          	γ-l-trimethyl-β-hydroxybutyrobetaine      	γ-trimethyl-hydroxybutyrobetaine
           	gdp-alpha-d-mannose                                                                                                                                                                               	gdp-mannose                                               	gdp-α-d-mannose                                    	guanosine diphosphate mannose                 	guanosine diphosphomannose                         	guanosine pyrophosphate mannose
           	(2e,6e)-farnesyl diphosphate                                                                                                                                                                      	(e,e)-farnesyl diphosphate                                	2-trans,6-trans-farnesyl diphosphate               	all-trans-farnesyl diphosphate                	farnesyl diphosphate                               	farnesyl pyrophosphate                                                   	farnesyl-pp                                                     	fpp                                         	trans, trans-farnesyl diphosphate        	ω,e,e-farnesyl diphosphate
           	(s)-2-amino-3-(p-hydroxyphenyl)propionic acid                                                                                                                                                     	(s)-3-(p-hydroxyphenyl)alanine                            	l-tyr                                              	l-tyrosine                                    	l-tyrosine(in)                                     	l-tyrosine(out)                                                          	tyr                                                             	tyrosine                                    	y
           	ammonia
           	(5z,8z,11z,14z)-eicosatetraenoate                                                                                                                                                                 	(5z,8z,11z,14z)-icosatetra-5,8,11,14-enoate               	(5z,8z,11z,14z)-icosatetraenoate                   	all-cis-icosa-5,8,11,14-tetraenoate           	arachidonate                                       	arachidonic                                                              	arachidonic acid                                                	c20:4 fatty acid
           	cetylic acid                                                                                                                                                                                      	hexadecanoate                                             	hexadecanoic acid                                  	hexadecylic acid                              	palmitate                                          	palmitic acid
           	h                                                                                                                                                                                                 	h(+)                                                      	h(+)(in)                                           	h(+)(out)                                     	h+                                                 	hydrogen ion                                                             	hydron                                                          	proton
           	6-(hydroxymethyl)tetrahydropyran-2,3,4,5-tetraol                                                                                                                                                  	d-glucopyranose                                           	d-glucose                                          	d-glucose(in)                                 	d-glucose(out)                                     	dextrose                                                                 	glucose                                                         	grape sugar
           	co-a-sh                                                                                                                                                                                           	coa                                                       	coa(in)                                            	coenzyme                                      	coenzyme a                                         	hs-coa
           	hydrogen peroxide                                                                                                                                                                                 	hydrogen peroxide (usp)                                   	hydroperoxide                                      	oxydol                                        	oxydol (jp18)                                      	oxyfull (tn)                                                             	perhydrol
           	diphosphate                                                                                                                                                                                       	diphosphate(in)
           	dihydrodiphosphopyridine nucleotide                                                                                                                                                               	dihydronicotinamide adenine dinucleotide                  	diphosphopyridine nucleotide reduced               	dpnh                                          	nad-reduced                                        	nadh                                                                     	nadh+h+                                                         	nadh2                                       	nicotinamide adenine dinucleotide reduced	β-nadh
           	dihydronicotinamide adenine dinucleotide phosphate                                                                                                                                                	dihydronicotinamide adenine dinucleotide phosphate reduced	dihydronicotinamide adenine dinucleotide-p         	dihydrotriphosphopyridine nucleotide          	nadp-red                                           	nadph                                                                    	nadph2                                                          	reduced dihydrotriphosphopyridine nucleotide	reduced nadp                             	reduced nicotinamide adenine dinucleotide phosphate	tpnh                                       	β-nadph
           	(s)-s-adenosyl-l-methionine                                                                                                                                                                       	2-s-adenosyl-l-methionine                                 	adenosylmethionine                                 	adomet                                        	s-adenosyl-l-methioninate                          	s-adenosyl-l-methionine                                                  	s-adenosyl-methionine                                           	s-adenosylmethionine                        	sam
           	holo-[(hydroxy)phthioceranic acid synthase]                                                                                                                                                       	holo-[(phenol)carboxyphthiodiolenone synthase]            	holo-[2-methylbutanoate polyketide synthase]       	holo-[4-hydroxyphenylalkanoate synthase]      	holo-[acp]                                         	holo-[aryl-carrier protein]                                              	holo-[btri acp]                                                 	holo-[cmaa peptidyl-carrier protein]        	holo-[cmad peptidyl-carrier protein]     	holo-[compactin nonaketide synthase]               	holo-[d-alanyl-carrier protein]            	holo-[entb isochorismatase/aryl-carrier protein]	holo-[entf peptidyl-carrier protein]	holo-[lovastatin nonaketide synthase]	holo-[lys2 peptidyl-carrier protein]	holo-[mycocerosate synthase]              	holo-[mycolipanoate synthase]   	holo-[non-ribosomal peptide synthase]	holo-[peptidyl-carrier protein]
           	so4--                                                                                                                                                                                             	sulfate                                                   	sulfate(in)                                        	sulfate(out)                                  	sulfuric acid                                      	sulfuric acid (nf)                                                       	sulphate                                                        	tetraoxosulfate(2-)
           	2-ketoglutarate                                                                                                                                                                                   	2-ketoglutaric acid                                       	2-oxoglutarate                                     	2-oxoglutarate(in)                            	2-oxoglutarate(out)                                	2-oxoglutaric acid                                                       	2-oxopentanedionate                                             	2-oxopentanedionic acid                     	a-ketoglutaric acid                      	alpha-ketoglutaric acid                            	ketoglutarate                              	oxoglutaric                                     	oxoglutaric acid                    	α-ketoglutarate                      	α-ketoglutaric acid                 	α-oxoglutarate
           	oxidized [2fe-2s]-[ferredoxin]                                                                                                                                                                    	oxidized [2fe-2s]-[protein]                               	oxidized [2fe-2s]-[putidaredoxin]                  	oxidized [adrenodoxin]
           	(cis-prenyl)(n+1)-diphosphate                                                                                                                                                                     	(cis-prenyl)n-diphosphate                                 	2-isopentenyl diphosphate                          	3-methylbut-2-en-1-yl diphosphate             	di-ch3-allyl-ppi                                   	dimethylallyl diphosphate                                                	dimethylallyl pyrophosphate                                     	dimethylallyl-diphosphate                   	dimethylallyl-pp                         	dimethylallyl-ppi                                  	dmapp                                      	dmpp                                            	dpp                                 	prenyl diphosphate                   	prenyl-diphosphate                  	δ-prenyl diphosphate                      	δ2-isopentenyl-diphosphate
           	n-[2-[[[5-[(2,4-dioxo-1h-pyrimidin-1-yl)]-3,4-dihydroxy-tetrahydrofuran-2-yl]methoxy-hydroxy-phosphinoyl]oxy-hydroxy-phosphinoyl]oxy-4,5-dihydroxy-6-(hydroxymethyl)tetrahydropyran-3-yl]acetamide	udp-2-acetamido-2-deoxy-d-glucose                         	udp-2-acetamido-2-deoxy-α-d-glucose                	udp-acetyl-d-glucosamine                      	udp-glcnac                                         	udp-n-acetyl-alpha-d-glucosamine                                         	udp-n-acetyl-d-glucosamine                                      	udp-n-acetyl-glucosamine                    	udp-n-acetyl-α-d-glucosamine             	udp-n-acetylglucosamine                            	udp-α-n-acetyl-d-glucosamine               	uridine diphosphate n-acetylglucosamine
           	3'-phospho-5'-adenylyl sulfate                                                                                                                                                                    	3'-phosphoadenosine-5'-phosphosulfate                     	3'-phosphoadenylyl sulfate                         	3'-phosphoadenylyl-sulfate                    	paps                                               	phosphoadenosine phosphosulfate                                          	phosphoadenosine-5'-phosphosulfate
           	beta-nicotinamide adenine dinucleotide                                                                                                                                                            	coenzyme i                                                	diphosphopyridine nucleotide                       	diphosphopyridine nucleotide oxidized         	dpn                                                	dpn+                                                                     	dpn-ox                                                          	nad                                         	nad(+)                                   	nad(+)(in)                                         	nad(+)(out)                                	nad+                                            	nad-ox                              	nad-oxidized                         	nicotinamide adenine dinucleotide   	nicotinamide adenine dinucleotide oxidized	β-nad+                          	β-nicotinamide adenine dinucleotide
           	nitrite                                                                                                                                                                                           	nitrite(in)                                               	nitrite(out)                                       	nitrous acid                                  	no2-
           	a(h2)                                                                                                                                                                                             	donor                                                     	hydrogen-donor                                     	reduced acceptor                              	reduced unknown two electron acceptor              	reduced unknown two electron carrier                                     	reduced unknown two electron donor
           	orthophosphate                                                                                                                                                                                    	orthophosphoric acid                                      	phosphate                                          	phosphoric acid
           	l-2-amino-3-hydroxypropionic acid                                                                                                                                                                 	l-3-hydroxy-alanine                                       	l-ser                                              	l-serine                                      	l-serine(in)                                       	l-serine(out)                                                            	s                                                               	ser                                         	serine
           	1-16:0-2-lysophosphatidylcholine                                                                                                                                                                  	1-16:0-lysopc                                             	1-hexadecanoyl-sn-glycero-3-phosphocholine         	1-hexadecanoyl-sn-glycero-3-phosphocholine(in)	1-hexadecanoyl-sn-glycero-3-phosphocholine(out)    	1-palmitoyl-sn-glycero-3-phosphocholine
           	udp-alpha-d-glucuronate                                                                                                                                                                           	udp-d-glucuronate                                         	udp-glucuronate                                    	udpglucuronate
           	formaldehyde                                                                                                                                                                                      	formaldehyde (usp)                                        	formalin                                           	formalin (jp18)                               	formol                                             	methanal                                                                 	methylene oxide                                                 	oxomethane                                  	oxomethylene
           	5'-deoxyadenosine                                                                                                                                                                                 	ch3ado
           	bactoprenyl pyrophosphate                                                                                                                                                                         	c55-pp (ambiguous)                                        	di-trans,octa-cis-undecaprenyl diphosphate         	di-trans-poly-cis-undecaprenyl diphosphate    	und-pp                                             	undecaprenyl pyrophosphate (ambiguous)                                   	undecaprenyl-pp (ambiguous)                                     	upp (ambiguous)
           	d-glycerol 1-phosphate                                                                                                                                                                            	glycerol                                                  	glycerol 3-phosphate                               	l-g3p                                         	l-glycerol 3-phosphate                             	l-α-glycerophosphate                                                     	sn-glycerol 3-phosphate                                         	sn-glycerol 3-phosphate(in)                 	sn-glycerol 3-phosphate(out)             	α-glycerophosphate                                 	α-glycerophosphoric acid
           	n-c18:0coa                                                                                                                                                                                        	octadecanoyl-coa                                          	octadecanoyl-coa(in)                               	stearoyl-coa                                  	stearyl coenzyme a                                 	stearyl-coa
Y          	adenosine 5'-diphosphate                                                                                                                                                                          	adp
Y          	gtp                                                                                                                                                                                               	guanosine 5'-triphosphate                                 	guanosine-triphosphate                             	guanylyl imidodiphosphate
           	flavin mononucleotide                                                                                                                                                                             	fmn                                                       	oxidized [flavodoxin]                              	oxidized [nadph--hemoprotein reductase]       	riboflavin 5'-phosphate
Y          	adenosine 5'-triphosphate                                                                                                                                                                         	atp
           	2-aminoglutaramic acid                                                                                                                                                                            	gln                                                       	glum                                               	glumin                                        	glutamic acid 5-amide                              	glutamine                                                                	l-2-aminoglutaramic acid                                        	l-gln                                       	l-glutamine                              	l-glutamine(in)                                    	l-glutamine(out)                           	proglumide                                      	q
